system:index,Class,.geo
"1_0,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.57700686531572,1.9175493970544397]}"""
"1_2,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.73630862312822,1.7995085184845117]}"""
"1_4,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.43075137215166,2.0863610311726646]}"""
"1_7,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.49309011649667,1.704763076345602]}"""
"1_8,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.54321523856699,1.4343264994988676]}"""
"1_13,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.57196419026582,1.894076414054717]}"""
"1_19,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.791004107258,1.620233947395417]}"""
"1_20,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.55136482503144,1.850154559171268]}"""
"1_22,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.51497261311738,1.5378677833994536]}"""
"1_23,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.66260139729707,1.884468602545238]}"""
"1_24,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.79581062581269,1.7012240770745102]}"""
"1_25,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.59599678303925,1.8172124528337577]}"""
"1_26,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.7195929744455,1.7554443923360559]}"""
"1_28,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.44974128987519,1.6840654297118958]}"""
"1_29,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.5547980525705,1.892017601778714]}"""
"1_30,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.67221443440644,1.574246574544379]}"""
"1_32,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.56328891865166,2.022626268974831]}"""
"1_33,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.41772007099541,1.962237998235886]}"""
"1_34,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.52483677021416,2.091246571845094]}"""
"1_37,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.55092929951104,1.3719754254947214]}"""
"1_40,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.54862902031556,1.3673931191480955]}"""
"1_41,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.54725572929993,1.3612150614499698]}"""
"1_42,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.50090715752259,1.3732279368190135]}"""
"1_43,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.49163744316712,1.4048043484856059]}"""
"1_45,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.61283037529603,1.465210199661497]}"""
"1_47,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.63411638603822,1.4806546187072214]}"""
"1_48,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.68561479912415,1.5146319602480436]}"""
"1_49,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.72715685234681,1.5077678934031746]}"""
"1_50,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.53180620537415,1.373914385021484]}"""
"1_51,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.61998989664788,1.901688675651838]}"""
"1_55,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.75113918864007,1.6710880687410992]}"""
"1_57,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.55681850992913,1.940119215297834]}"""
"1_58,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.62753360950227,1.8270126994812925]}"""
"1_60,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.65087955676789,1.8733371071013873]}"""
"1_61,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.74632328235383,1.7878933791782028]}"""
"1_62,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.73087375842805,1.7587249213346048]}"""
"1_67,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.43286960803742,1.8880920329988624]}"""
"1_70,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.55406254016633,1.7926975515075898]}"""
"1_72,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.46548526965852,1.7820597244484537]}"""
"1_74,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.62684696399445,1.8060805364102774]}"""
"1_76,1,""{""""type"""":""""Point"""",""""coordinates"""":[-75.60873359939869,1.879774044071465]}"""
